Source,Target
87,21
11,73
14,77
37,9
51,40
51,15
77,81
98,71
60,12
11,28
75,63
59,37
73,66
100,61
17,89
35,21
43,33
14,5
13,1
56,33
89,63
23,57
33,64
27,80
25,13
99,78
30,46
82,93
21,52
60,43
82,43
53,65
19,88
20,64
1,17
66,63
96,30
30,42
72,95
22,14
43,60
5,88
80,21
90,91
82,34
61,31
92,80
51,16
1,4
56,65
14,22
75,48
17,31
38,69
80,1
98,87
29,5
98,95
30,90
83,65
12,85
38,94
66,41
40,45
5,68
46,56
33,54
5,49
99,58
16,98
