Source,Target
1,2
2,3
3,1
4,1
4,2
5,2
5,3
6,1
6,2
7,5
7,3
8,4
8,1
9,7
9,3
10,1
10,2
11,10
11,2
12,8
12,1
13,7
13,3
14,11
14,10
15,5
15,2
16,9
16,3
17,15
17,2
18,12
18,8
19,4
19,2
20,6
20,1
21,13
21,7
22,20
22,1
23,4
23,1
24,11
24,2
25,20
25,6
26,23
26,4
27,25
27,6
28,15
28,5
29,3
29,1
30,5
30,3
31,3
31,1
32,4
32,1
33,22
33,1
34,29
34,1
35,4
35,2
36,32
36,4
37,11
37,2
38,6
38,1
39,4
39,1
40,31
40,1
41,40
41,1
42,33
42,22
43,9
43,3
44,33
44,1
45,2
45,3
46,6
46,1
47,35
47,4
48,38
48,1
49,23
49,4
50,27
50,25
51,24
51,2
52,34
52,1
53,29
53,1
54,41
54,1
55,9
55,7
56,26
56,23
57,40
57,31
58,41
58,40
59,52
59,1
60,38
60,1
61,12
61,8
62,35
62,4
63,1
63,2
64,38
64,1
65,45
65,3
66,7
66,3
67,11
67,10
68,14
68,11
69,61
69,12
70,49
70,4
71,13
71,3
72,28
72,15
73,18
73,12
74,14
74,11
75,41
75,40
76,45
76,2
77,51
77,2
78,63
78,2
79,74
79,11
80,65
80,45
81,32
81,1
82,5
82,2
83,82
83,2
84,44
84,33
85,37
85,11
86,54
86,1
87,13
87,3
88,51
88,2
89,60
89,1
90,53
90,1
91,6
91,2
92,14
92,11
93,8
93,4
94,5
94,2
95,46
95,6
96,89
96,60
97,67
97,11
98,44
98,33
99,41
99,1
100,57
100,40
